Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
2;1144422;2НДФЛ;Ремонт;1;0.42;женский;1;0;среднее-специальное;рабочий;>250;3;41;47;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144442;Поступление зарплаты на счет;Обучение;1;0.37;женский;0;0;высшее;вспомогательный персонал;>250;0;96;30;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;25;2;0;1;11;22;0;0;0;0;0;0;0
2;1144462;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.53;мужской;0;0;высшее;торговый представитель;>250;0;6;29;Торговля;ООО;женат / замужем;0;0;0;0;0;0.3417721519;0;1;0;0;0.3333333333;1;2;52;3;0;0;4;89;1;1;1;1;0;0;0
2;1144482;Свободная форма с печатью работодателя;Другое;0;0.35;женский;1;0;высшее;менеджер среднего звена;>250;1;62;44;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144502;2НДФЛ;Покупка недвижимости/ строительство;0;0.38;мужской;1;0;высшее;рабочий;>250;0;55;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144522;Поступление зарплаты на счет;Ремонт;0;0.48;мужской;0;0;высшее;менеджер среднего звена;>250;0;14;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144542;2НДФЛ;Ремонт;1;0.46;мужской;1;0;среднее-специальное;рабочий;>250;0;295;47;Другое;ОАО;разведен / разведена;1;0;0;0;0;0;0;0;0;0;0.5;2;2;47;4;1;0;12;85;0;0;0;0;0;0;0
2;1144562;2НДФЛ;Покупка автомобиля;1;0.35;женский;0;0;высшее;менеджер среднего звена;>250;0;9;33;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.2033898305;0;0;0;0;1;2;0;47;2;0;0;33;40;1;0;0;0;0;0;0
2;1144582;Форма банка (без печати работодателя);Ремонт;0;0.16;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;74;41;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.3333333333;2;4;111;6;1;1;34;102;0;0;0;0;0;0;0
2;1144602;2НДФЛ;Покупка автомобиля;0;0.46;женский;0;0;высшее;менеджер по продажам;>250;0;75;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144622;Форма банка (без печати работодателя);Ремонт;1;0.15;женский;0;0;высшее;специалист;>250;0;18;32;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144642;2НДФЛ;Ремонт;1;0.43;мужской;0;0;высшее;специалист;>250;0;113;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144662;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.42;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144682;Поступление зарплаты на счет;Ремонт;1;0.36;женский;2;0;высшее;специалист;>250;0;11;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
